,message,Polarite
119,Alla ka hine la,-1
120,Ala ka hin'ala,-1
121,Walaye ,0
122,Allah ka nogoya,1
123,Ala ka hinɛ furew la k'u dayɔrɔ sumaya.,-1
124,ߞߎߣߊ ߝߏߣߌ,1
125,Amina yaraby 😥😥😥,1
126,Amen,1
127,Amine,1
128,Amina yarabi,1
129,Aminayarabi,1
130,Paix a leurs Ames,-1
131,Amina,1
132,Allah ki dayoro sumaya,-1
133,"Amina  alla ka,an don juguw kalo dibi la!",1
134,Wo niaana kosobè,1
135,Kabakɔ ni furu musɔ majɔ a jɔyɔrɔ la furu kɔnɔ ni musɔ wɛrɛ y'ijɔyɔrɔ ta ɔtɛ basi yɛ an cɛw ni musɔ min an jiyaɲɛ kɔ kɛ an b'ɔdɛ fɛn,-1
136,"o ɲɛna ,n'i bɛ kɛ misaliye ,musow ma miniw k'a tabolo ye n'i walenya nunuye",1
137,"A gnèna kodjoukou, à ba takabolo falé sisan, hali môgô t'o fô a yè",1
138,Ogniale kosébé alha ka futur ni si bén,1
139,A wo dusu be Traoré kono de,0
140,Haa ni gnè na kobesè .,1
141,💜💜👏👏😂😂😘Uuunnmoi bravo👍👍🙌,1
142,Aw sambe sambe,1
143,Amène y'arabi,1
144,Amina yarabi,1
145,Amina yarabi,1
146,Amina yarabi,1
147,Ala ka hinɛ la ka da yɔrɔ sumaya,-1
148,Ala la hiné ala,-1
149,Ala ka hinè a la,-1
150,Allah ka yafama,0
151,Ala ka hinè a la,-1
152,"Allah ka hin'a la, ka dayɔrɔ suma.",-1
153,"""N'gala kaa dayôrô sumaya"".",-1
154,Amina yarabi,1
155,Ala ka hine a la,-1
156,Allah ka hine alà.ani anw bè,-1
157,Allah Kâ hiné ala,-1
158,Rip,-1
159,Ala ka hinè a la,-1
160,Rip,-1
161,Mali kotiki fɔlɔ kɔrɔ Modibo Keyita fatura bi sibiri don. Ala ka hin'a la.,-1
162,Ala ka diɲ'a ma,-1
163,Ala ka hine là,-1
164,Amina,1
165,Ala ka hine a ni silamesubela,-1
166,Allah ka hinê a la,-1
167,Ala ka dayoro suma,-1
168,"Ala ka hin'a la, ka dayoro souma !",-1
169,Ala  ka hine a la,-1
170,Alah ka hin'a la,-1
171,Amine ,1
172,Amina,1
173,Alah ka ine a la,-1
174,Allakahine. Ala,-1
175,Amina yarabi,1
176,Allah ka hiné a la'',-1
177,Ala ka hinè ala,-1
178,Amina,1
179,Alakahine ala,-1
180,Alakahineala,-1
181,R I p,-1
182,Amina yarabi,1
183,Allah ka hine a la,-1
184,"Allah ka hinè a la ,ka da yoro suman ,ka fara simèn su bèè kan ,ka yen fisaya ma ni yan ye.",-1
185,ne balimakɛ  ika nin baara ɲɛna kosɛbɛ,1
186,A mi na yarabi,1
187,Amina ,1
188,Amén y'arabi Allah Kâ doukaw mina,1
189,Amina,1
190,Amina,1
191,Amina,1
192,Amina yarabi,1
193,Amina yarabi,1
194,Amiini à la ka dugawu miné,1
195,Amina,1
196,Amiiiiina !,1
197,Amina yarabiy,1
198,Amina,1
199,Amina,1
200,AMINA YARABI,1
201,Amina ya rabbi,1
202,Amina,1
203,Amiina,1
204,", aminayarabi",1
205,Amina yarabi,1
206,Amina,1
207,Amina yarabi,1
208,Amina ya rabi,1
209,Amina yaarabi,1
210,Amina yarabi,1
211,Amina,1
212,An bi i yere fu ni ka tiesiriye,1
213,Amina yaraby,1
214,Amine allah ka aw bolo mé aw ka bara la,1
215,Amina yarabi,1
216,Amina.yarabi,1
217,Amine,1
218,Amina yarabi,1
219,Amina,1
220,Amina,1
221,Amine,1
222,Aminé,1
223,Amina yarabi,1
224,O don,1
225,Amina,1
226,Amina,1
227,Amina yarabii,1
228,Allah ka keneya be ye,1
229,amina yarabi allahou kan an kisi,1
230,Amina,1
231,Amina,1
232,Ala.ka.aw.kisi,1
233,Malien Aw te sabali Aw ka noun datougoulan matarafa doni,0
234,Rip ,-1
235,Allah ka hinne la Allah ka yafaama,-1
236,Rip,-1
237,Rip,-1
238,Allah ka hinè a la.,-1
239,Rip,-1
240,Allah ka hina a la!,-1
241,Ala ka hinalaa,-1
242,Ala ka hina a la,-1
243,Allah ka a daa yôrô sumaya,-1
244,Ala ka hinɛ a la ߊ,-1
245,Allah ka da yoro sumaya,-1
246,Allah ka hinè ka dayoro sumaya,-1
247,Allah ka hinèh ala,-1
248,Rip,-1
249,Ala ka hine a la.,-1
250,Ala ka dayoro nèma!!!,-1
251,Ala ka hinɛ à lá !,-1
252,Allah ka yafama,-1
253,sumɛila cisse anw yamɛ bii ko asara allah ka hinɛla,-1
254,Allah ka hine ala ,-1
255,Rip 😭,-1
256,RIP,-1
257,RIP,-1
258,"Allah ka a la  Hinɛ, Allah ka a dayɔrɔ sumaya  A yan kon kiti mi na, Allah k'o nɔgɔya a yé Allah ka anw ɲa, ka anw ta don kɔnɔ!!!  Nin juru bɛ ninma bɛ la !!  Yarabi !!",-1
259,Allah ka daorosoumaya,-1
260,"BƐ nin i ka wati don, Ala ka an fama a ɲɔgɔ wɛrɛ ma.",-1
261,Allá ka hine la,-1
262,Aw maa foko ibk desera,-1
263,"An bɛ duwawu k'a ye, Allahu ka nɔgɔya k'an n'a ye.",1
264,Kabako mali,0
265,Allah ka nogoyake,1
266,Allah ka nogoya kè a ye,1
267,allah ka kɛŋɛya ka se ke arɛma,1
268,Ala ka nogoya kè ala ka mali  basiki,1
269,Allah ka nɔgɔ ya kɛ.,1
270,kan ba ko do,-1
271,O jnena kosebe,1
272,Onièna kosebe,1
273,Hum,-1
274,An ka fɔli bɛ u ye,1
275,Alahu akibaru,0
276,"Aw ni tiɛ aw ka baraa ɲumana, hali bi, awy'a tiɛ siri kɔsɔbɛ halisah",1
277,"Foli be duwanyew ye ,nka a ko to kera cogodi? Sabu tuma caman u ba mine ka jira ka tila ka di  o moko kelenw la tun .",1
278,Nin diyara an ye kosɛbɛ  K'a dansɛ an bɛ kun.,1
279,A.o.yekoyumaye,1
280,Mali dénw ko i bissimala,1
281,"I nana o diyara anw ye, I dansɛ",1
282,A jara anw ye !,1
283,I bora i ka sô i nana i ka sô!,1
284,An ja la anw ye kosɛbɛ ibis misi la Mali là anw bɛ ku Mali bɛɛ i fo ko sɛbɛ bɛ ni kè ye a laɲini na Mali là anw bɛ mɔgɔ minu na ani bugu dalen don minu ɲana bɛ mɔgɔ kelen bɛ kuma,1
285,Tabarikala o jara angné ibissimila an bekun,1
286,👏👏,1
287,a bisimila Mali jamana kɔnɔ an bɛ kun,1
288,I bisimi lah,1
289,Ok,0
290,O yɛ hakilina ŋuman yɛ,1
291,A nafa kabon ko sebé,1
292,O kagni,1
293,O kagn,1
294,Oye ko.  Ñumaye,1
295,O ye hakilina gnuman ye,1
296,Okangni,1
297,Ok,0
298,O kaɲi.,1
299,O kagni kossobe,1
300,o kagne,1
301,"OBI DIYA ANYE, KOSEBE, BAWO, AKADI, ANYE, KA BAMANA KAN, DOBA LA. HAKILINANIKAGNI",1
302,O kan ni. Ni yere ba damine.Nara Mara la',1
303,Odeye kalanw la nafamaye,1
304,okange aw ka group WhatsApp dayêlé,1
305,Okangni ko sebe,1
306,O ye hakilina n'yuma ye ,1
307,Ne hakili la o bé n'a k3 sababu ye ka dofara an ka donniya kan Bamanankan kalan na,0
308,O kagni ko sobe ,1
309,"O k'aɲii kosobɛ kɛ, ni ya ye kô anw bɛ k'a sebɛ an ɲa kalan de kɛ,oye koɲumanye 👍🏽",1
310,Alah k'an bɛmɛ.,1
311,O ye koɲuman ɲe kosɛbɛ Ala ka ɲɛ k'ad'ama.,1
312,"Adama Traoré haa ika ni hakilinaɲe kaɲi kojuku, ",1
313,Oyé kognouma ba yé,1
314,Wa ana fan kabo,1
315,O kan ɲi,1
316,O kagni kosobe,1
317,Nokèra obijanyëkosebë,1
318,O kagni kosè bè.,1
319,Wo nafa kabon koso be,1
320,O ye hakilina yuma ye. Allah kan bèn kele ma.,1
321,O ye hakilinan youmagne,1
322,Ngala ka barikadon a kow la,1
323,O kagni kosôbè!,1
324,O ye hail la ñuman ye. Ne kòni be fè ka ntòkò sèbèn ni o ba la.,1
325,O ka fisa kosebe,1
326,"bamanakan nafa kabɔn mali la,kosɛbɛ bawu abi fɔ ka tɛmɛ mali kan bɛɛ kan,hali an ka sariya sunba kumaw kakan ka sɛbɛn bamanakan na,walasa an ka se k,an ka hakɛw dɔn.",1
327,Alhamdoulillah,1
328,Okayikosébé,1
329,A,0
330,O ye ko yunman ye ani ko sebela man,1
331,O kaɲi kosɛbɛ,1
332,"Bamanakan kalanli yé wadjibi yé anw ma, n'be missali ta faradjela",1
333,O nafakabon ko sébé,1
334,O ye ko gnuman yé,1
335,"Ɔ nafakabɔ kɔsɔbɛ, an kadɔ bala  kɔsɔbɛ",1
336,O kayi kosèbè,1
337,O kagni kôssôbè,1
338,Ayake abibe,1
339,Nafa bala  kosôbè,1
340,O kagni  ko sobê,1
341,Nafa bâ a la kosébé,1
342,"Né koni bolo oyé hakilinanyoumaye, basitala",1
343,"Ah, o ye bara niuma'n ba. Aya lke telephon android kan",1
344,O ye koñumanbaye mé ne bé ñinikali kelenké a tògo sébén bé kéjogodi na bé ké abéké joli,1
345,O hakilina kagni kojugu,1
346,Nebolo moko kanka iyereka kan kalan omanake ibeki yeretaye alhakaw demen,1
347,Awo o akilina kagni,1
348,nafa bala kosɛbɛ,1
349,Oye hakilila nyuma baye,1
350,O kapisa kosébé,1
351,Aw ni ɲakuma ka foli lase aw kèlè kèlè na bɛɛ ma foh aw sigi yôrɔ la kala bɛ damina wati jumɛna a b c d e ɛ f g h i j k l m n ɲ ŋ o ɔ p r s t u w y z bamanankan sigi dew filɛ mugan ani wɔro 26,1
352,Awo .o kayin kosebe,1
353,Okaayi kosêbie,1
354,Basitɛ,1
355,O koni  nafabala,1
356,Baasitè,0
357,I dansé ni ô hakilina coura yé !,1
358,Hakilina ɲuman tɛmɛlen t'a kan.,1
359,O ye miiriya ɲuman ye  Nɛ kɔni n'labɛnnɛ dɔ k'i ma kɔnɔ sanga ni waati bɛɛ.,1
360,Hakili ngnou ma ye ohé,1
361,O kadi an ye,1
362,Ode kagni kosebè allah ka akoyèwou nokoya ni aka dièye,1
363,O kayi kôsèbè,1
364,"Okagikosebe alaka,ademe",1
365,"O yé hakilila nyuma yé ,wa o na kè sababu yé ka bamanan kan do sangan la ",1
366,Okayni,1
367,Aye o.wasapou dayélé,0
368,O kadi a ye kodjoukou,1
369,Oka niue ko sebe,1
370,O be diy'an ye,1
371,Ne kɔni hakili la o kaɲi kosɛbɛ baw bamanankan nafa kabo kosɛbɛ,1
372,Odeye antaye,0
373,O kayni kosebe ,1
374,OKAN GNI,1
375,On,0
376,Obi.sokajaawye,1
377,Oye hakilina gnumaba ye,1
378,Ô kagni ke,1
379,O kagni kosèbè nka a bè daminè don jumè ani yòrò jumè,1
380,Min?,0
381,"Tamba sidibe oyehakilina, n yuma ye",1
382,O bè diya an ye kosèbè.Allah ko hakilila yi sinsin.,1
383,Okagni. Kosebe,1
384,Oh kagni kosobe ,1
385,O kai kosɛbɛ Ala ko o yira ankɛ ne la,1
386,Alla ka anw demɛ mɛ ne ba fɛ ka dɔ ni a bɛɛ na kɛ yɔrɔjumɛna???,1
387,O ka gni ko saibai,1
388,O kaɲi kosɛbɛ,1
389,Allah ka to akassa ,-1
390,Tiena a kera baara ye jaman niemoko..,-1
391,awbè siran lakana gnè katèmè covide19 ka,-1
392,Kuma doron de do walasa ká maw hakkili saalo,-1
393,Alaka nogoya,1
394,Rip pour lui-même,-1
395,Abarka Allah ye,1
396,  Nɛ kô diagɔya de dô kô laɲini ka sabati wa né fɛ laɲini de dô mɛ diagɔya ah ɔye damatɛmɛyɛ dè ɔh nou yɛ ou gere don bɔgɔ la ɔh babo bɔgɔ la ni allah sɔna ma tigi fila tɛ jamana la kè le pɛ,-1
397,😡😡😡UNTM ABƐƐ YE FASƆ DEN DJUKU DAMA DAMA FARALE YE ƝƆGƆN KAN,-1
398,UNTM ya la ahw niete jamanala gelé ya konowa  Bah n'daw ye tou niefo Bara bila ni watiyna i te i yere kalama,-1
399,UNTM jo don baw Bah DAW kuma cogo magnè. Jamana gnè mogo mankan la kuma tan ni gèlèya bè jamana kono,-1
400,Heyi anka sabali jamana in sènkè na ten sa anka to nièta ka kè ni Dumas bèè bara bila ye môkô kele tè seka jamana jô,0
401,"Ne bi mi fɔ Mali denw ɲe o de ye Mali hinɛ tɛ Mali baara kɛlaw la, sabula ne tise ka famu ko jamana mi bɛ nimakara la, k'a ye k'o jamana kɔnɔ minu jɔyɔrɔ ka bon a la kunu ni la ni Olu kɛra a faga ba ye o bi mɔgɔ dabali ban , nka mana kɛ ɲɛ o ɲɛ ma a ti kɛ jamana ɲɛmaw kelen na!!!🙏🙏🙏",0
402,"Anw m'bi dugawu de kɛ Mali jamana ye sabula hali sisan Mali denw caman da len tɛ bana ko in na sabula anw taabolo bi o jira an na, n'i ma da fosi la i tise ka o minɛ sɛbɛ la 🙏🙏🙏",1
403,Allah ka hinɛ u la.,-1
404,Allahou akbar,0
405,Oye galón ye,-1
406,Alhaka Yaga ouw man,1
407,Aw ni sogom Bamanankan kunnafoni ,0
408,Marak=a bani  Aw yèrè ni su...! Ni te Mali kura sira ye dèh. Ni ye jamana nakassili sira de ye,-1
409,Alla ka hakili nouma Di Anw bèma. Mali dewn,1
410,Doul Kane amina,1
411,"Uni jamana, gnemaw, kasigi, ka, kunma, abana.",-1
412,Sekou Kone ayiwa,0
413,Hummmmmmmmm ?,-1
414,Lassya Cisse awɔ dε ,-1
415,Untm baféka transition ni de tigne,-1
416,Tiecoura Coulibaly cogo di?,-1
417,Na ye UNTM djia oukake fo san kelen faso te djio tan bara bara bilao bara bila,-1
418,Bourama Samaké e delila,-1
419,A ni wa tina a maka,-1
420,Ni tè barabila wagatiye kadakan untm ka barabila ni tè barabila kuraye malikònò u kankato transition katemen fòlon,-1
421,Ok alibi alaha  kagyne kadianma,1
422,aye hakili bila wole ngen ni oké la sigi bé diya aw barakélaw ye =mogo joliyé malide mogo 20000000 deye oluté baarala ayesabali an ka koto,0
423,n'ka folibe awbeye folo UNTM kabarabila ne ye mounfamouya'ala ou te malika heredefe sitiguiyala oubeseka san bafila ni san mouganifila makono politiquimokow ka djanfa labinlendo kadakan ou sago sorolente sordasiw fe m'be dougaouke Allah ka hakilinyoumandi oubeladjeniman,1
424,Ou ba fe Ke jamana chent,-1
425,Borodian Coulibaly amina,1
426,afô Bamanankan na,0
427,Amanyan halidôni ,-1
428,Ne fakilinan ye mi ye= ka ni mogow bé gén ku bolo bò baara la mali hiné té ni mogo ninuna,0
429,N baa i ni tiye,1
430,Anbaa ni sokoma,0
431,yɛrɛni sogoma kodi bassite,0
432,N be Allah tanu,1
433,I yɛrɛ ni sɔgɔma an ka karamɔgɔ muso a kɛlan fama ye dɛ i tununa i ka kalandenw la dɛ walima tubabu kalan naw bɛ ka i mina an na wa?,0
434,An ban hérèsira,0
435,"Nbaa, n bɛ hɛɛrɛ la! e dun i ka kɛnɛ wa? An ka fɔli b'i ye diɲɛ dɔn bɛɛ yɔrɔ bɛɛ ani tuma bɛɛ, an bɛ mangala deli  a ka demɛ dɔn   An ye; ka haminankɔw ɲɛnɛbɔ  A ka sii jan ni kɛnɛya di an ma amiina yarabi!",1
436,Amba i ni sogoma,0
437,"Ahabaa torosité,ya",1
438,Edeye karamokoye  Awoukoniye   kaladewouye   somokobedi  oukakene  Afanabeya  bassifossitana  Abe  Allatanou,0
439,Folidabora karamokow dama dekama wa belajelen,0
440,aw deye bamanaka karamokowy  wa aw deni folikaka tumabe,0
441,Kɔ karamɔgɔ musɔ yɛrɛ ni sɔgɔma i ni cɛ i ka cɛri la ka kunafɔni ɲuman di an ma jamana kɔnɔ an ka tɔ dun kan na,0
442,Kɔdi hɛrɛ sira?,0
443,An ba!,0
444,NBA ni soukoma,0
445,Nba,0
446,Ubaa,0
447,Aw ni sogoma mali de Awu be ka kan ka douwavou ke mali ye Allah ka bensanti mali la,0
448,Anba inisɔkɔma,0
449,Aha baaa,0
450,"Anbaa, hɛrɛ tilenna wa ?",0
451,Allah ka sababou niouman Di anma,1
452,I yèrè fo len do,0
453,Herè sira,0
454,Karamɔkɔ jolen ,0
455,A ka na sira fara fiya de fôlô a lé debi laba,0
456,Professeur ((((KO oo wi )))),0
457,Nė bolo ni quatrième albitri ko iyé farafidé yé omakanga itôrô saboula iyé farafidé yé.,1
458,Mɔgɔ siya fɔli ima o tɛ kojugu ye nka a fɔra sabu de bi a kɛ kojugu ye a ni afɔyɔrɔ,1
459,Ne bolo alfitiri ni kanka.bolobô.bara ina,0
460,Mensonge virus,-1
461,"Aw ni sɔkɔma m'balimaw, koronavis jukuya sababu ye Mali denw ka tulo gɛlɛya ye sabula kabini bana in nana Mali la mɔgɔ caman ko tuɲɛ tɛ ma b'i yɛrɛ kun nɛkɛn nka i tise ka ala nɛkɛn abada , dɔkɔtɔrɔw de bi bana ɲɛ dɔn alimamiw de bi seli ɲɛ dɔn , wa fana mɔbili dilan naw de bi mɔbili bana dɔn",1
462,Amina ,1
463,Ayena,1
464,Ko bè bi ba bolo. An bè be na sah tan tioko de la. Mônè ni mônè.,-1
465,"Ala mana min kè,wo dé kan'y.ala ka mali dèmè.ka malidenw kisi💞💞",0
466,An baa ni su.  A gnana kossobè an ga ta dron. Tow ban sôrô sira  😜,1
467,A akagni ta ńè hakilila,1
468,Allaka ou dème ka mali ta nié,1
469,Ne hakilila a sigi cogo gnana sabu a bè kèra demisew ye.,1
470,ALLAKA BARAGNE OUBOLO OUKADO KOUSIKIRA MALI ANI MALIDENW DE KAMA OUKANAGNINA OKO ABADAAA,1
471,⚽️🕌💴💶🚫❌❌❌❌❌❌❌❌,-1
472,Allah ka malikura kÉ Malidenw bE sakoye baw o deye Malidenw ka layiniye,1
473,"ala ka aké hereye jamana ma nka Oumar Marko mana oma bé ne m'a nka an bé duwawu ké mogo,ninuye,alaka,udeme,amiina",1
474,Maw munu ba kono sigui cogo kagni  . Aw bé kula djè uka bara bolola. Mali kura Anw Amina ko do . Allah ka su here di ama....,1
475,Ayiwa commi CNT siguilakaban anwbee ka djen ka dougaouke an ka Malibaye Allahou ka ake hereye anwbema Allahou ka Malibo diguenkono,-1
476,Allah ka u sigi kun kè Mali koyé.,1
477,Mali ko bén allah bolo à tén bolo djuku kan allah ka Mali taka djé mali déh bén fan ô fan fén allah kén taka djé di u béla déile ma ne ko allah neko à kirra 🙏🙏,1
478,"Aw ni su bamanankan dunkew ala ka jamana denw bɛn kelen ma, o kɔfɛ an m'bi fɛ ka dɔɔni fɔ aw ka masala kan anw kɔni hakilina ye u k'u jija ka kɛ tuɲɛ dɛmɛ bakaw ye ka Faso ka ɲɛta sira ɲini jamana ɲɛmaw fɛ hakɛ ɲini cogo ɲuman na",1
479,"Aw bè ni su, ne bolo a sigi cogo magna bawo a ye a yèrè sôsô. Ni kôni bè an segi kôfè.",1
480,Kabakɔ janfa jamana tɛ kɛ foyi yɛ ni ɲɔgɔn taa tiɲɛ a ni jɔyɔrɔ ɲini tɛ ibk tara dɔn bɛna anw mali dɛnw b'afɔ kɔ ja kɔ al ni ibk tun tɔr'anɔna al kɔ mɛn tatɛ ni ngalɔn ni nanbara yɛ san kɛmɛ kɛ bɔli la tiɲɛ tilɛ kɛlɛ ba ci wa ni nanbara ni ngalɔn yɛ jamana o jamana jɔ ɔ ngalɔn kɛlɛ ni nanbara ba ci ngalɔn ti mɛn bɔli la ka tiɲɛ tɔ yɛ,-1
481,Ala ka an kisi politikimswtôrôma,-1
482,"ANKA, FOLI, FOLO, BAMANA KAN, KUNNAFONI DI, BAGA, NEFE, WASADENW, SIGI, TOGO, MAGNE, HALIDONI, NEFENE, BI GNIN, NIGALIKE, MOGO 23,MI SARA, NIYE, OBANEYEWA.?",1
483,Ne te politikila.ALLAH ka nfasso  mali ke ALLAH saguo ye,-1
484,CNT YE MOUYE?,0
485,Alaka an deme ,1
486,CNT ni ye fuleye. a mɔgɔw ti na foyi ɲɛ Mali yiriwali ko ra kamasɔrɔ o ka jonyabarala nasaraw ye. An ga sigi ka filɛ.,-1
487,Ne bolo mali denbe kakan ka ni  taralisio deme puru jamana besekabo ni porobilena,-1
488,Allah ka r de sira nôgôya,1
489,A sigi cògo niena ne be' dougawu ke ala k'udeme,1
490,aw ne ka koumaw Jana ,1
491,I  siki i   ka. Fle,-1
492,"CNT sigira, n'ga ba kan dè. Baara minouw béna kè ou fè. Yalima o béna bin, charia ba , hakilinaw la waaa",-1
493,Sôrasiw ka to fangala waati bê,0
494,Ala ka uké barakélawye ala ka jamanakisi  ala ka an demin,1
495,Madou sissoko Allan ka mali jabenla,1
496,Alla ka no koyaye,1
497,Fanga nin labanan sordashiw bolo koy,-1
498,Amina,1
499,Amina,1
500,Amine,1
501,Amina,1
502,Tarɛ tarɛ ala ka jamana ɲɛ a ka wati kɔnɔ,1
503,Amiina,1
504,Oyanakosébe,1
505,Allah ka Fagan lakanda,1
506,Amina yarabi,1
507,Amina yaraabi ini ce,1
508,Alla ka kow nogoya ,1
509,Sosoro tara.sosoro.nana,-1
510,Ala.ka.kow.keawsakoye,1
511,Ok,1
512,Ala KA na ke nineye,1
513,An ba ini su,0
514,marahaba,0
515,Ini su,0
516,Sekou Kouressi basi t'a la.,1
517,O Diarra aw yé,0
518,Moussa Doumbia i dunbuya,1
519,Adama Doumbia i dunbuya!,1
520,Marhaba,0
521,An baa  Kow bè di,0
522,Mahamadou Touré turekε kow kaɲi barisa kεnεya bε,1
523,Eh  walaye   akèra fama yé. Mais Kodi hérai kôundo deh,0
524,Maoua Diakite awɔ basi ten yi,0
525,ADiarra Anw ye bamananka Bismillah,1
526,An banisu akerafamaye mé an wu kanasônimadé anfamanaka kunafonijéle sôrôdé,0
527,A ini fama dôdi,0
528,A kera famaye 🇲🇱,0
529,Abaanisu èni fama ikakene,0
530,A toun kèra wati ni yé,0
531,A toun kèra wati ni yè,0
532,"An baa iyere ni gnatuma , i gnenefi tunbe anw na. ",1
533,"Nba, a tun kɛra fama ye de. kɔli baasi te i la? Ngala ka demɛ kɛ ka haminankɔw ɲɛnɛbɔ ka laɲininw sabati!!! Ka tilɛ hɛɛrɛ caya!",0
534,A toun kera fama ye,0
535,Akéra famaye,0
536,Allah ka sigui dia,1
537,Akéra famaye,0
539,Akɛra ye ini fama koiyi,0
540,wa l'ahi,0
541,okay,0
542,Can'a kun kɛra famaye dɛ  Kɔri basii tila ?,0
543,Ayiwa. Kônibasi kônite alakanabasikeye,1
544,Baasitè,0
545,I dense,1
546,I ka bamanankan seben djo ko fale doni ode kani nebolo 🇲🇱🙏🏼,1
547,Ok,0
548,An ba!,1
549,Ok,0
550,Mara ka ba iyère bedi......,0
551,I tun ye anw bila o tun ka di? ,0
552,Ok,0
553,Ini fama sa,0
554,Anbah ,1
555,maraha bah ala ka kanuto,1
556,Ok,0
557,Bamanankan alhamdoulillah ,1
558,O don,1
559,Kani bassi tè aw la?,1
